year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2055,13161281697.894272,6828227574.012371,35904046181.18744,18627440987.92612,-22742764483.293167,-11799213413.91375,54608580730.91954,28331573267.989853,1.5209589597601585,6126322316061783.0,3178407994451882.5
2056,12316882621.96472,6264846483.090252,37082577455.004524,18861643979.509575,-24765694833.039803,-12596797496.419323,29842885897.879738,15179254727.100142,0.8047683830524098,6281342775947411.0,3194935716023032.5
2057,11352623301.125244,5661163348.923046,38281104717.918365,19089472207.17561,-26928481416.793125,-13428308858.252563,2914404481.0866127,1453313423.2181637,0.07613167129219386,6438363782660543.0,3210590901031545.0
2058,10256468068.457521,5014263118.081518,39459590964.315,19291316494.75353,-29203122895.857483,-14277053376.67201,0.0,0.0,0.0,6597339861181997.0,3225359619176290.0
2059,10111451044.251675,4846437303.821778,40620295141.68155,19469383059.399014,-30508844097.42988,-14622945755.577236,0.0,0.0,0.0,6758222591036781.0,3239228665538748.0
2060,10077871985.441721,4735630194.549554,41763800107.42619,19624967762.397175,-31685928121.984474,-14889337567.847622,0.0,0.0,0.0,6920960591028947.0,3252185580200903.0
2061,10035935849.570143,4623455142.705122,42171914381.54663,19428178632.033924,-32135978531.976486,-14804723489.328802,0.0,0.0,0.0,7086205446100355.0,3264543885405666.5
2062,9987177156.84733,4510776962.013187,42547062261.16252,19216672062.07609,-32559885104.315193,-14705895100.062904,0.0,0.0,0.0,7253950101420443.0,3276296243393127.0
2063,9931223693.760305,4397554114.903696,42891054556.28865,18992194645.16458,-32959830862.528347,-14594640530.260885,0.0,0.0,0.0,7424185802400579.0,3287435650620664.0
2064,9867771542.381298,4283781813.21324,43205407510.528885,18756265093.000534,-33337635968.14759,-14472483279.787294,0.0,0.0,0.0,7596902060907626.0,3297955444702650.5
2065,9796354343.087992,4169390478.861513,43491378871.39339,18510206412.33635,-33695024528.305397,-14340815933.474836,0.0,0.0,0.0,7772086622432155.0,3307849311036758.0
2066,9793889175.449446,4086609105.77947,43920957249.76776,18326507541.189835,-34127068074.318314,-14239898435.410364,0.0,0.0,0.0,7949725434274463.0,3317111289107660.5
2067,9789872879.32602,4004836530.9663324,44345374541.429985,18140784679.43597,-34555501662.103966,-14135948148.469639,0.0,0.0,0.0,8129802614811648.0,3325735778459340.0
2068,9784210106.643047,3924039222.172979,44766813080.62994,17954104466.829494,-34982602973.986885,-14030065244.656515,0.0,0.0,0.0,8312300423908941.0,3333717544327642.5
2069,9774598681.576035,3843318117.4850755,45184856604.84916,17766435603.40847,-35410257923.273125,-13923117485.923395,0.0,0.0,0.0,8497199234538371.0,3341051722925163.0
2070,9760888933.845005,3762674039.7402263,45601388588.51427,17578640857.51039,-35840499654.669266,-13815966817.770164,0.0,0.0,0.0,8684477505667597.0,3347733826371013.5
2071,9789578898.823608,3699738808.1693144,45611230109.295204,17237680994.018898,-35821651210.47159,-13537942185.849583,0.0,0.0,0.0,8875883389892511.0,3354429294023755.5
2072,9818530020.661451,3637921761.742954,45582872365.55223,16889180253.300545,-35764342344.89078,-13251258491.55759,0.0,0.0,0.0,9071507859805742.0,3361138152611803.0
2073,9847785548.948748,3577217059.758908,45516061634.69692,16533750797.412207,-35668276085.74818,-12956533737.6533,0.0,0.0,0.0,9271443893035860.0,3367860428917026.5
2074,9872252660.10133,3515788980.5335655,45414488684.98411,16173386599.041378,-35542236024.88278,-12657597618.507812,0.0,0.0,0.0,9475786516438372.0,3374596149774860.5
2075,9900119322.030632,3456581459.479027,45335797937.255936,15828786856.324871,-35435678615.2253,-12372205396.845844,0.0,0.0,0.0,9684632851260672.0,3381345342074410.0
2076,9931478324.096268,3399539521.4429493,45281409221.103386,15499801259.22289,-35349930897.007126,-12100261737.779942,0.0,0.0,0.0,9898082159302458.0,3388108032758559.0
2077,9966466203.40218,3344623385.413651,45247689619.27452,15184567704.138046,-35281223415.872345,-11839944318.724396,0.0,0.0,0.0,1.0116235890093484e+16,3394884248824076.0
2078,10005220966.487656,3291793144.0111394,45231154177.57569,14881390797.481112,-35225933211.08804,-11589597653.469973,0.0,0.0,0.0,1.0339197729111144e+16,3401674017321724.0
2079,10047692358.683504,3240947600.3001833,45228180849.68232,14588639755.081682,-35180488490.99881,-11347692154.781498,0.0,0.0,0.0,1.0567073647060754e+16,3408477365356367.5
2080,10094019552.418056,3192049738.93001,45235493527.55668,14304900496.296083,-35141473975.13862,-11112850757.366074,0.0,0.0,0.0,1.0799971950241974e+16,3415294320087080.0
2081,10143832790.257105,3144904183.9647393,45245991401.920906,14027666919.372309,-35102158611.6638,-10882762735.40757,0.0,0.0,0.0,1.1038003332025306e+16,3422124908727254.0
2082,10197290813.225426,3099488075.005611,45256580011.35867,13755833057.03283,-35059289198.13324,-10656344982.027218,0.0,0.0,0.0,1.1281280925463144e+16,3428969158544708.5
2083,10254555525.545593,3055778240.425447,45264204923.54588,13488383005.090874,-35009649398.00029,-10432604764.665426,0.0,0.0,0.0,1.1529920357060352e+16,3435827096861798.0
2084,10345872283.381197,3022539145.136586,45335156589.27809,13244633385.055393,-34989284305.8969,-10222094239.918808,0.0,0.0,0.0,1.1784039801729962e+16,3442698751055521.5
2085,10434868670.96998,2988764093.8723598,45386864876.21455,12999745023.418404,-34951996205.24457,-10010980929.546043,0.0,0.0,0.0,1.204376003896009e+16,3449584148557632.5
2086,10521860458.192387,2954588584.975038,45417212424.63015,12753369798.46736,-34895351966.43776,-9798781213.492321,0.0,0.0,0.0,1.2309204510218772e+16,3456483316854748.0
2087,10607196853.6973,2920148482.0759144,45424126902.75138,12505207271.462831,-34816930049.05408,-9585058789.386917,0.0,0.0,0.0,1.2580499377623994e+16,3463396283488457.5
2088,10691262503.120323,2885580052.7692275,45405575966.46317,12255000216.77369,-34714313463.34285,-9369420164.004461,0.0,0.0,0.0,1.2857773583906828e+16,3470323076055434.5
2089,10790964652.099699,2855382098.2457304,45214900476.024796,11964251719.431055,-34423935823.9251,-9108869621.185326,0.0,0.0,0.0,1.3141158913696134e+16,3477263722207545.5
2090,10884676848.409561,2823705050.7252703,45042465874.124756,11684925529.458494,-34157789025.71519,-8861220478.733223,0.0,0.0,0.0,1.3430790056153996e+16,3484218249651960.5
2091,10974199581.784037,2791106917.8130636,44884328890.76514,11415589805.415722,-33910129308.9811,-8624482887.602657,0.0,0.0,0.0,1.3726804668991632e+16,3491186686151264.5
2092,11060364650.0578,2757864297.8274107,44738650405.61478,11155430276.52185,-33678285755.556976,-8397565978.69444,0.0,0.0,0.0,1.4029343443896208e+16,3498169059523567.0
2093,11143671557.37765,2724153521.328654,44604250646.63751,10903841327.306416,-33460579089.259865,-8179687805.977762,0.0,0.0,0.0,1.433855017339968e+16,3505165397642614.0
