year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio
2041,8630684062.784899,5908230442.488152,6289399615.312976,4305478221.870523,2341284447.471923,1602752220.6176276,193182584499.17172,132245279562.26175,30.715584366562545
2042,8497829774.322394,5703219183.029629,6459123634.3011265,4334965372.925894,2038706140.021268,1368253810.1037357,195221290639.193,131020488675.06625,30.224114243993075
2043,8365290716.951176,5504183473.500604,6626719549.198127,4360240601.358719,1738571167.753049,1143942872.1418853,196959861806.94604,129595402357.50096,29.722075960009413
2044,8232881237.27048,5310843971.035079,6792053894.664824,4381399104.134912,1440827342.6056566,929444866.9001672,198400689149.5517,127983760903.6658,29.21070595529225
2045,8100150472.997505,5122767040.54083,6954772897.850794,4398397473.519089,1145377575.1467113,724369567.0217406,199546066724.6984,126198644962.77252,28.691960133790037
2046,7967209849.104414,4939893710.123236,7114666615.588452,4411292978.296518,852543233.5159616,528600731.8267174,200398609958.21436,124252762460.03508,28.16697124207266
2047,7833903081.975508,4761999777.63046,7271534895.491688,4420152661.198293,562368186.48382,341847116.4321673,200960978144.69818,122158280900.78029,27.6366655778951
2048,7700082511.157307,4588876646.996718,7425193885.8186035,4425056325.394448,274888625.33870316,163820321.60227007,201235866770.0369,119926840812.56334,27.101765942351726
2049,7565364905.805209,4420187717.488909,7564206100.862658,4419510666.8194685,1158804.9425516129,677050.6694398387,201237025574.97946,117576011180.63351,26.603852789260916
2050,7429663970.024244,4255786504.535307,7690913349.879593,4405432785.927355,-261249379.8553486,-149646281.39204827,200975776195.1241,115120952915.30746,26.131587634942026
2051,7293083732.798268,4095639182.5897636,7755016695.8819,4355050813.2045145,-461932963.0836315,-259411630.61475077,200513843232.0405,112604267698.11807,25.856016962351372
2052,7145362173.0641365,3934001889.632265,7799434732.63299,4294112773.1645765,-654072559.5688534,-360110883.53231126,199859770672.47165,110036229996.9756,25.624904563436424
2053,6998983572.263487,3777853565.1219378,7834610172.366793,4228901191.9261336,-835626600.1033058,-451047626.8041957,199024144072.36835,107427609232.97581,25.40319680158946
