year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2080,17410831.88548614,3230088.294955968,14165355.964791557,438.54392422993055,1729194.1271239552,7100234247.918642,2265267190.1913934
2081,16774950.12325575,2865019.506855091,13896816.82167012,485.05138580799905,1472926.2065268361,5934395836.407936,1856192857.818765
2082,16146458.220946532,2500438.33887521,13634961.336589184,545.302842489717,1216859.9439730851,4769397521.687323,1462547352.2099936
2083,15525119.356434198,2136261.467253082,13379636.411553698,626.3108058939031,960934.3073263937,3604954536.6375294,1083792233.5140145
2084,14910704.105896076,1772398.4753586345,13130703.34534855,740.8437508778396,812969.1707396748,3070835898.5245776,905112743.6499099
2085,14302989.262060449,1408750.8636069945,12888037.639135994,914.8557045876231,664929.3572223382,2536201069.0595894,732874448.2407149
2086,13701228.42764108,1045210.8664079369,12651000.762751905,1210.3778452121762,516775.8558286834,2000915535.5207086,566858265.239197
2087,13105260.366391169,681660.1230761104,12419549.82238752,1821.956338936497,368465.2951062636,1464828929.1081657,406848260.74093807
2088,12514921.153540844,317967.75791190413,12193651.617495833,3834.8704590589955,219949.15705418293,927772178.6305636,252631050.93705967
2089,11930043.742830517,309666.4315649501,11617606.002370652,3751.651718805676,213465.56262117284,901766906.6204004,240735149.19641834
2090,11350456.909249768,300929.3853231874,11047067.908828815,3670.983442499196,206688.23765760535,874442004.0644016,228863244.80392176
2091,10775984.435267542,291767.52870339446,10481849.303245809,3592.5345599035,199674.14449652255,846040253.4186208,217088038.72297788
2092,10206443.80442317,282414.28382006934,9921756.073810445,3513.1920169207006,192541.01590012418,816923089.1730667,205506644.212927
2093,9641644.813355831,272880.5248414176,9366586.634296792,3432.4863013731415,185295.23916378798,787117525.3553603,194126179.29061583
